year,country,"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Grants and other revenue (% of revenue),Taxes on goods and services (% of revenue),Taxes on international trade (% of revenue),Other taxes (% of revenue),Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Compensation of employees (% of expense),Goods and services expense (% of expense),Interest payments (% of revenue),Interest payments (% of expense),Other expense (% of expense),Subsidies and other transfers (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA building human resources rating (1=low to 6=high),IDA resource allocation index (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Armed forces personnel, total",Armed forces personnel (% of total labor force),Military expenditure (current USD),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),"Internally displaced persons, new displacement associated with disasters (number of cases)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Intentional homicides (per 100,000 people)"
2013,LCN,3.06506571878698,-2.68149614971583,14.2962342728373,35.8652821572353,4.50003691997261,1.16050327775669,13.2211403194056,25.8498861584361,29.0986040016616,15.4957506208438,8.64130940379064,8.1275941692901,9.27408342991308,33.7068844259777,3.44444444444444,3.33333333333333,3.46296296296296,3.33333333333333,3.33333333333333,3.27777777777778,3.33333333333333,3.55555555555556,3.94444444444444,3.5,3.72222222222222,3.05555555555556,3.61111111111111,3.16666666666667,3.22222222222222,3.35555555555556,3.72222222222222,3.53333333333333,3.64814814814815,4.22222222222222,3.5,2484593.0,0.880942399476254,78457041272.38,1.31795110363658,3.71274674777427,354082.0,4.3,43.6,23.7
2013,LKA,5.19289341085172,-5.09312876094842,11.4683823083126,43.9522764911429,16.6316948608787,8.80144974031267,10.1212570540829,17.8325862083915,27.9489676250044,8.48615800135044,38.4984956343047,31.5581221791819,12.1324140872099,19.8741959557909,4.0,3.5,3.16666666666667,2.5,4.0,4.0,3.0,4.0,4.5,3.51666666666667,3.0,3.0,3.5,3.0,3.5,3.3,3.5,3.6,4.0,4.0,3.0,223100.0,2.77714085693281,1600841410.40839,2.15404824269909,12.517053371297,324000.0,1.34021118699063,4.62006508919607,2.92924064310508
2013,MMR,2.49676234898156,-1.41352480621729,72.6366644973643,13.4581437884939,3.08958104135359,0.361131402735158,5.52956758874506,10.3758271015217,13.4742561416347,51.687533695409,6.54237562544988,9.44711968595883,13.8852966982377,11.5057937787598,2.5,4.0,3.66666666666667,2.5,3.0,2.5,3.5,3.0,3.0,2.95,3.5,2.5,2.5,2.5,2.0,2.7,3.0,2.6,2.83333333333333,3.5,2.5,513250.0,2.15585606534615,2366989084.91061,3.99963655299475,17.9269697559709,223000.0,0.819616916175985,4.07587877529261,2.44430549723813
2013,SAS,4.46095434651895,-3.66229828583182,21.6674645529379,28.5948509646907,16.6316948608787,1.05450476858175,10.8029398681451,19.3966719650908,26.6988725573423,9.41297953705725,17.1762291283182,19.4875635997881,1.20044344166369,36.6705806985705,3.375,3.3125,3.16666666666667,3.25,3.375,3.125,2.9375,3.375,4.0625,3.31145833333333,3.25,3.1875,3.625,2.875,3.375,3.1875,3.5,3.5375,3.35416666666667,3.5625,3.0,4629950.0,0.729601335032952,59206270804.7731,2.48085652046331,10.0636554746454,4063000.0,3.0,4.8,3.9
2014,BDI,8.01553304703299,-4.08613489819233,43.5265263026872,36.7223922512977,5.98546228682698,0.055977950244997,13.690026719648,13.7096412089431,44.2182645486367,15.993473646294,3.77331145234813,5.40051969436935,6.39682064245472,27.9909214682452,3.0,3.0,3.33333,3.0,3.5,3.0,3.5,4.0,4.0,3.26667,3.5,2.5,4.0,2.5,3.0,2.8,3.0,3.6,3.33333,4.0,2.5,51050.0,1.11732308212204,62177428.7401455,2.29794559090695,8.07471095475193,12000.0,1.92765200740861,8.87863767106031,5.37403241808829
2014,HND,3.42471638246336,-2.61569741663397,18.2615910620132,44.2633853637302,2.99879892613199,0.392266789735065,16.5426382434487,21.5121310908641,44.1849153360053,14.1847884774488,7.63218840848651,7.52992354437527,26.5253729862726,7.5749996558985,3.0,3.5,3.16667,3.5,3.5,3.5,3.0,3.5,4.0,3.40834,3.0,2.5,4.5,2.5,3.5,3.0,3.5,3.8,3.66667,4.5,3.0,18700.0,0.499053000229244,241887992.174126,1.19271597688079,4.31550839470837,2500.0,10.9836482469955,116.894413221784,64.5387715492367
2014,KEN,5.52297065039309,-4.99153779583201,22.5554645564952,29.7972526768467,7.84333818358788,0.831248034956614,15.1870212650473,37.4211317159664,35.559900412386,22.5576358844338,11.010864266702,10.7286476408265,0.424978567518857,29.8715694039501,3.5,4.5,4.33333,3.5,3.5,4.0,4.0,3.5,4.0,3.81667,4.5,3.5,4.0,3.0,3.5,3.4,4.0,3.7,3.83333,4.0,3.0,29100.0,0.14801606589777,819042626.799535,1.19943336712808,5.12034357468412,1400.0,2.26534572675881,7.82857708518313,5.02925219263668
2014,LCN,4.21913298522548,-3.96571010226344,15.2491026305127,36.049316690947,4.02944935441894,1.45944275034982,13.1385080987318,27.0738405038344,28.2708060165253,14.1847884774488,8.40461348547167,7.64771364062632,8.71383729834059,35.1759659971511,3.44444444444444,3.33333333333333,3.44444555555556,3.33333333333333,3.16666666666667,3.27777777777778,3.33333333333333,3.5,3.94444444444444,3.48426111111111,3.66666666666667,3.05555555555556,3.61111111111111,3.16666666666667,3.22222222222222,3.32222222222222,3.72222222222222,3.52222222222222,3.64814777777778,4.22222222222222,3.5,2621950.0,0.919371033749035,72705458926.1897,1.27132110020039,3.56734827013783,1550762.0,4.2,42.9,23.3
2014,LKA,5.61390797251861,-5.36533787281715,10.2555367500712,45.4099395889165,16.7211700560909,9.66638167745065,9.74785982267564,16.6901325656009,28.8138962253334,10.6277375093461,36.7640390271581,28.5141841572252,11.4664385865893,20.5777446585271,4.0,3.5,3.16667,2.5,4.0,4.0,3.0,4.0,4.5,3.51667,3.0,3.0,3.5,3.0,3.5,3.3,3.5,3.6,4.0,4.0,3.0,223100.0,2.76983582980669,1914591220.29078,2.41264701190051,13.510571601522,152000.0,1.14061611246183,4.16323479452661,2.60364471652924
2014,MMR,1.02980397441572,-1.05899865418927,73.6619451745419,12.1728568387154,3.39939199371704,0.526975038896072,5.84092892509613,10.0243998374721,12.7384323829294,44.7632794483402,6.03031348580595,8.17428112358236,14.6958202955864,19.6281867495616,2.5,4.0,3.66667,2.5,3.5,2.5,3.5,3.0,3.5,3.05,3.5,3.0,2.5,2.5,2.5,2.9,3.0,2.8,2.83333,3.5,3.0,513250.0,2.1335827757993,2372895911.61414,3.78953437926591,15.9377243188214,81000.0,0.804816019058043,4.01938663217949,2.40834410169901
