year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
2014,BRA,20606853865.14,1538775897.25,87713983217.24,11492921645.8,2127744943.22,2647908513.04,843894200000.0,34.3599012775913,351.0,644171360000.0,26.2280086004285,117.93,21.1708614032165,398.377621386564,66.028510394056,24.2732831603592,11.3474043536962,66.028510394056,81.906564014111,6.32904015516139,25.7620070762948,57.23,75.37,64.77,71.69,73.02,59.95,74.79,52.55,68.12,-145732.0
2014,COL,3898941534.05,399081655.550903,16168701714.7497,1823211043.09359,4093206772.32991,4165731073.41833,146745680000.0,38.491592506046,70.0,17216000000.0,4.51578033904703,40.97,15.7121396828327,221.507600480189,42.3582286207544,6.6700607385064,5.9580083293695,42.3846056970013,46.3781588471125,2.89883787761738,15.0327636453349,24.39,48.73,33.95,44.42,42.43,19.62,46.13,28.43,39.0,-67522.0
2014,CRI,424410434.687268,419222829.171868,3242149796.9724,7625086.38778482,558505384.378772,593925384.378772,2551360000.0,4.90491376893806,9.0,121660000.0,0.233887734043414,78.8,22.0041344187277,211.815657348724,52.494259325461,20.2125210576891,4.36844466427643,52.494259325461,52.4568066554807,4.51920098516954,14.3787697855335,56.74,69.76,60.24,69.22,65.54,49.4,73.36,61.6,64.55,1589.0
2014,EAP,163535500352.015,24188813580.829,329530055513.562,50868600252.4604,37211018424.3725,89065943827.0572,7634083598089.58,60.272297591781,5563.0,12575486672365.4,99.2854565108457,22.935,6.84780220115036,299.222310491172,126.727457113042,21.92625148124,17.4922460742051,126.738211691588,170.836000726926,3.14299050879095,8.54711872313277,61.4,73.93,66.97,70.86,70.61,63.72,76.49,60.7,68.92,-528520.0
2014,ECA,13184418674.7466,10863955081.1844,40134442920.0678,2286172844.28484,25095688945.8814,40404149670.2419,255557110000.0,18.6175619182261,533.0,370755120000.0,27.009839026194,46.655,21.343786326003,220.228876614526,48.9452840408641,16.23631311138,6.30701789105853,48.9732251190407,45.9542999267513,3.06881210379543,6.22244292038048,51.1,61.65,56.27,59.07,61.23,35.07,63.91,42.0,57.56,697221.0
2014,EGY,252700000.0,351400000.0,4612200000.0,484900000.0,19570400000.0,19570400000.0,70083650000.0,22.9334760798122,246.0,26440980000.0,8.65228312676056,12.06,4.32763176873513,94.9610496659082,25.6066805392918,29.2880714168568,2.21204888604566,25.6066805392918,75.4426483751864,10.0702154687481,55.030352336,5.46,19.89,9.31,18.76,17.42,8.4,18.86,7.31,14.13,-92801.0
2014,HUN,9231475124.58141,667640135.370871,12880113629.556,-324870579.963653,385231878.342415,4189588428.42515,14513280000.0,10.2906363919056,48.0,7113710000.0,5.04397372664641,57.83,15.4973769386235,532.83240155552,42.5142980243658,34.1896531140894,3.74202411287159,42.5606328384521,57.1997253320994,-0.227566270988219,12.9487554971959,66.57,76.04,72.5,71.98,75.78,44.97,83.53,50.68,72.26,11581.0
2014,IDN,10387533776.9083,4119081643.74152,25120732059.5134,3259252152.57698,8345070844.30339,8551164468.84294,422127050000.0,47.3866252650752,506.0,90721490000.0,10.1841027484954,49.21,17.5854342467378,388.438442392934,32.9313976543609,23.0637781204467,5.74432339947259,33.0063782465258,39.4838502418518,6.39492540819922,4.9173319889006,22.13,45.27,37.46,34.62,36.32,15.78,53.7,35.17,36.06,-27988.0
2014,LAC,34679516307.2418,5604278652.64468,155426220692.256,18534287133.0604,61533246497.8533,63999143850.0784,1615355450000.0,32.3406536306695,936.0,796419820000.0,15.9449349325687,34.26,12.4914890773777,186.559732118683,44.2951840586956,23.9536054714171,8.6894672830469,44.283731332174,57.2039005810394,3.43816659958601,18.6647183475068,40.78,58.73,48.78,54.52,56.35,43.36,56.93,37.53,51.56,-751215.0
2014,LCN,150590890438.18,8084826133.16001,280024163925.839,20764217401.239,63228581234.8566,66029972939.9814,1865040400000.0,35.1154478281856,1254.0,823807690000.0,15.5108575442404,40.17,13.1425168032007,216.661628914457,45.384823309991,21.1954736386259,8.36528263798314,45.9331381114788,58.2687036059684,3.38341272749477,17.8957705675589,41.25,59.18,49.19,55.04,56.69,43.2,57.64,38.18,52.02,-804470.0
